Country or Area,Sex,Age,Agricultural workers,Armed forces,Clerical Workers,Clerical workers,Craft workers,Elementary occupations,Office Workers,Plant and machine operators,Professionals,Service and sales workers,Technicians,Unknown
Aruba,Female,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Aruba,Female,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Aruba,Female,>60,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Aruba,Male,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Aruba,Male,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Aruba,Male,>60,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Bermuda,Female,15-59,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Bermuda,Female,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Bermuda,Female,>60,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
Bermuda,Male,15-59,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Bermuda,Male,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Bermuda,Male,>60,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
Brazil,Female,15-59,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Brazil,Female,<15,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0
Brazil,Female,>60,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
Brazil,Male,15-59,18.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Brazil,Male,<15,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0
Brazil,Male,>60,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
Cayman Islands,Female,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Cayman Islands,Female,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Cayman Islands,Male,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Cayman Islands,Male,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
China,Female,15-59,40.0,0.0,20.0,20.0,20.0,20.0,40.0,40.0,20.0,60.0,20.0,60.0
China,Female,>60,16.0,0.0,8.0,8.0,8.0,8.0,16.0,16.0,8.0,24.0,8.0,24.0
China,Male,15-59,40.0,0.0,20.0,20.0,20.0,20.0,40.0,40.0,20.0,60.0,20.0,60.0
China,Male,>60,16.0,0.0,8.0,8.0,8.0,8.0,16.0,16.0,8.0,24.0,8.0,24.0
Dominican Republic,Female,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Dominican Republic,Female,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Dominican Republic,Female,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Dominican Republic,Male,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Dominican Republic,Male,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Dominican Republic,Male,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Ecuador,Female,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Ecuador,Female,<15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Ecuador,Female,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Ecuador,Male,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Ecuador,Male,<15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Ecuador,Male,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Finland,Female,15-59,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Finland,Female,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Finland,Male,15-59,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Finland,Male,>60,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Ghana,Female,15-59,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Ghana,Female,<15,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Ghana,Female,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Ghana,Male,15-59,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Ghana,Male,<15,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Ghana,Male,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Indonesia,Female,15-59,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,20.0
Indonesia,Female,>60,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,4.0,8.0
Indonesia,Male,15-59,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,20.0
Indonesia,Male,>60,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,4.0,8.0
Japan,Female,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0
Japan,Female,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Japan,Male,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0
Japan,Male,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Kiribati,Female,15-59,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Kiribati,Male,15-59,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Liechtenstein,Female,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Liechtenstein,Female,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Liechtenstein,Male,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Liechtenstein,Male,>60,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
Qatar,Female,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Qatar,Female,>60,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Qatar,Male,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Qatar,Male,>60,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Seychelles,Female,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Seychelles,Female,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Seychelles,Female,>60,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Seychelles,Male,15-59,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0
Seychelles,Male,<15,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Seychelles,Male,>60,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Singapore,Female,15-59,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Singapore,Male,15-59,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Tajikistan,Female,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Tajikistan,Female,>60,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Tajikistan,Male,15-59,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Tajikistan,Male,>60,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Thailand,Female,15-59,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Thailand,Female,>60,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0
Thailand,Male,15-59,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
Thailand,Male,>60,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0
Zambia,Female,15-59,18.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Zambia,Female,<15,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Zambia,Female,>60,8.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
Zambia,Male,15-59,18.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,27.0
Zambia,Male,<15,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Zambia,Male,>60,8.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
