"country","gender","age","employed","unemployed","economically_active_population","not_economically_active_population","attending_school","not_attending_school","literate","illiterate","population","population_<15","population_>60","population_15_59"
"Albania","Female","15-59","294458","122033","416491","623460","0","0","0","0","1039951",NULL,NULL,"1039951"
"Albania","Female",">60","5236","1722","6958","223705","0","0","0","0","230663",NULL,"230663",NULL
"Albania","Male","15-59","468212","178668","646880","381826","0","0","0","0","1028706",NULL,NULL,"1028706"
"Albania","Male",">60","34556","8253","42809","174729","0","0","0","0","217538",NULL,"217538",NULL
"Andorra","Female","15-59","0","0","0","0","0","0","0","0","0",NULL,NULL,"0"
"Andorra","Female","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"Andorra","Male","15-59","0","0","0","0","0","0","0","0","0",NULL,NULL,"0"
"Andorra","Male","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"Anguilla","Female","15-59","2528","188","2716","847","0","0","0","0","3563",NULL,NULL,"3563"
"Anguilla","Female","<15","0","0","0","1612","0","0","0","0","1612","1612",NULL,NULL
"Anguilla","Female",">60","102","10","112","507","0","0","0","0","619",NULL,"619",NULL
"Anguilla","Male","15-59","2828","182","3010","461","0","0","0","0","3471",NULL,NULL,"3471"
"Anguilla","Male","<15","0","0","0","1590","0","0","0","0","1590","1590",NULL,NULL
"Anguilla","Male",">60","186","26","212","332","0","0","0","0","544",NULL,"544",NULL
"Argentina","Female","15-59","6762650","665069","7427719","4749997","1841797","1566902","12114709","160618","12177716",NULL,NULL,"12177716"
"Argentina","Female","<15","0","0","0","0","3308974","78567","0","0","0","0",NULL,NULL
"Argentina","Female",">60","745475","24197","769672","2432585","0","0","2060698","81529","3202257",NULL,"3202257",NULL
"Argentina","Male","15-59","9339112","449216","9788328","1926078","1645849","1787668","11698005","195609","11714406",NULL,NULL,"11714406"
"Argentina","Male","<15","0","0","0","0","3401977","95147","0","0","0","0",NULL,NULL
"Argentina","Male",">60","1110304","36405","1146709","1237205","0","0","1719653","68268","2383914",NULL,"2383914",NULL
"Armenia","Female","15-59","657572","403546","1061118","677577","0","0","0","0","1738695",NULL,NULL,"1738695"
"Armenia","Female",">60","18939","5680","24619","57803","0","0","0","0","82422",NULL,"82422",NULL
"Armenia","Male","15-59","852527","360965","1213492","406625","0","0","0","0","1620117",NULL,NULL,"1620117"
"Armenia","Male",">60","28215","10391","38606","26278","0","0","0","0","64884",NULL,"64884",NULL
"Aruba","Female","15-59","40789.30000000035","4106.050000000005","44895.35000000036","19744.65000000001","3991","0","0","0","64640.00000000037",NULL,NULL,"64640.00000000037"
"Aruba","Female","<15","0","0","0","0","7029","0","0","0","0","0",NULL,NULL
"Aruba","Female",">60","1380.650000000002","98.95","1479.600000000002","7010.0499999999865","0","0","0","0","8489.649999999989",NULL,"8489.649999999989",NULL
"Aruba","Male","15-59","43119.000000000575","4199.350000000002","47318.35000000057","11528.74999999999","3810","0","0","0","58847.100000000566",NULL,NULL,"58847.100000000566"
"Aruba","Male","<15","0","0","0","0","7281","0","0","0","0","0",NULL,NULL
"Aruba","Male",">60","2033.2000000000007","139.1","2172.3000000000006","4512.249999999985","0","0","0","0","6684.5499999999865",NULL,"6684.5499999999865",NULL
"Australia","Female","15-59","18143417","1118116","19261533","5456548","0","0","0","0","24718081",NULL,NULL,"24718081"
"Australia","Female","<15","0","0","0","1915878","0","0","0","0","1915878","1915878",NULL,NULL
"Australia","Female",">60","1666568","56702","1723270","5703927","0","0","0","0","7427197",NULL,"7427197",NULL
"Australia","Male","15-59","19764096","1255411","21019507","3644315","0","0","0","0","24663822",NULL,NULL,"24663822"
"Australia","Male","<15","0","0","0","2021336","0","0","0","0","2021336","2021336",NULL,NULL
"Australia","Male",">60","2321674","107590","2429264","4352107","0","0","0","0","6781371",NULL,"6781371",NULL
"Austria","Female","15-59","3448541","240251","3688792","1383662","0","0","0","0","5072454",NULL,NULL,"5072454"
"Austria","Female","<15","0","0","0","1258793","0","0","0","0","1258793","1258793",NULL,NULL
"Austria","Female",">60","84100","766","84866","2035626","0","0","0","0","2120492",NULL,"2120492",NULL
"Austria","Male","15-59","4089917","258774","4348691","767035","0","0","0","0","5115726",NULL,NULL,"5115726"
"Austria","Male","<15","0","0","0","1322379","0","0","0","0","1322379","1322379",NULL,NULL
"Austria","Male",">60","128394","7573","135967","1409055","0","0","0","0","1545022",NULL,"1545022",NULL
"Azerbaijan","Female","15-59","2971493","437948","3409441","1755406","0","0","0","0","5164847",NULL,NULL,"5164847"
"Azerbaijan","Female","<15","0","0","0","984457","0","0","0","0","984457","984457",NULL,NULL
"Azerbaijan","Female",">60","63087","13393","76480","370580","0","0","0","0","447060",NULL,"447060",NULL
"Azerbaijan","Male","15-59","3780661","315918","4096579","785562","0","0","0","0","4882141",NULL,NULL,"4882141"
"Azerbaijan","Male","<15","0","0","0","1109173","0","0","0","0","1109173","1109173",NULL,NULL
"Azerbaijan","Male",">60","120360","11456","131816","240908","0","0","0","0","372724",NULL,"372724",NULL
"Bahamas","Female","15-59","0","0","0","0","14348","14507","0","0","0",NULL,NULL,"0"
"Bahamas","Female","<15","0","0","0","0","30946","771","0","0","0","0",NULL,NULL
"Bahamas","Male","15-59","0","0","0","0","12386","16440","0","0","0",NULL,NULL,"0"
"Bahamas","Male","<15","0","0","0","0","30790","827","0","0","0","0",NULL,NULL
"Bahrain","Female","15-59","381166","21801","402967","271689","0","0","307409","17600","674656",NULL,NULL,"674656"
"Bahrain","Female",">60","7669","1","7670","5478","0","0","4503","2290","13148",NULL,"13148",NULL
"Bahrain","Male","15-59","1395212","15346","1410558","97966","0","0","598863","19908","1508524",NULL,NULL,"1508524"
"Bahrain","Male",">60","22537","27","22564","3128","0","0","9379","633","25692",NULL,"25692",NULL
"Bangladesh","Female","15-59","36489388","236636","36726024","5857463","0","0","0","0","42583487",NULL,NULL,"42583487"
"Bangladesh","Female","<15","607698","15039","622737","23683147","0","0","0","0","24305884","24305884",NULL,NULL
"Bangladesh","Female",">60","3258700","6165","3264865","1779656","0","0","0","0","5044521",NULL,"5044521",NULL
"Bangladesh","Male","15-59","33774729","800400","34575129","6233764","0","0","0","0","40808893",NULL,NULL,"40808893"
"Bangladesh","Male","<15","942287","56365","998652","24577273","0","0","0","0","25575925","25575925",NULL,NULL
"Bangladesh","Male",">60","4364258","15696","4379954","1345021","0","0","0","0","5724975",NULL,"5724975",NULL
"Belarus","Female","15-59","6572442","356008","6928450","2269609","0","0","0","0","9198059",NULL,NULL,"9198059"
"Belarus","Female","<15","0","0","0","1636520","0","0","0","0","1636520","1636520",NULL,NULL
"Belarus","Female",">60","302286","8338","310624","1680662","0","0","0","0","1991286",NULL,"1991286",NULL
"Belarus","Male","15-59","6627255","462007","7089262","1674644","0","0","0","0","8763906",NULL,NULL,"8763906"
"Belarus","Male","<15","0","0","0","1724861","0","0","0","0","1724861","1724861",NULL,NULL
"Belarus","Male",">60","366235","27993","394228","959869","0","0","0","0","1354097",NULL,"1354097",NULL
"Belgium","Female","15-59","3637632","466127","4103759","2105033","0","0","0","0","6208792",NULL,NULL,"6208792"
"Belgium","Female","<15","0","0","0","1776003","0","0","0","0","1776003","1776003",NULL,NULL
"Belgium","Female",">60","80911","8548","89459","2538304","0","0","0","0","2627763",NULL,"2627763",NULL
"Belgium","Male","15-59","4491513","392766","4884279","1449814","0","0","0","0","6334093",NULL,NULL,"6334093"
"Belgium","Male","<15","0","0","0","1856753","0","0","0","0","1856753","1856753",NULL,NULL
"Belgium","Male",">60","165219","6074","171293","1878472","0","0","0","0","2049765",NULL,"2049765",NULL
"Benin","Female","15-59","2284287","27969","2312256","2003252","0","0","0","0","4315508",NULL,NULL,"4315508"
"Benin","Female","<15","373700","6870","380570","1871257","0","0","0","0","2251827","2251827",NULL,NULL
"Benin","Female",">60","191385","300","191685","252920","0","0","0","0","444605",NULL,"444605",NULL
"Benin","Male","15-59","2738080","55604","2793684","1005538","0","0","0","0","3799222",NULL,NULL,"3799222"
"Benin","Male","<15","415401","7773","423174","1948540","0","0","0","0","2371714","2371714",NULL,NULL
"Benin","Male",">60","281194","553","281747","89519","0","0","0","0","371266",NULL,"371266",NULL
"Bermuda","Female","15-59","47209","2843","50052","11466","2297","1068","0","0","61518",NULL,NULL,"61518"
"Bermuda","Female","<15","140","50","190","5733","3355","107","0","0","5923","5923",NULL,NULL
"Bermuda","Female",">60","6681","244","6925","13840","0","0","0","0","20765",NULL,"20765",NULL
"Bermuda","Male","15-59","48597","3545","52142","6529","1995","1204","0","0","58671",NULL,NULL,"58671"
"Bermuda","Male","<15","133","52","185","5685","3328","126","0","0","5870","5870",NULL,NULL
"Bermuda","Male",">60","7260","315","7575","8380","0","0","0","0","15955",NULL,"15955",NULL
"Bhutan","Female","15-59","199339","6815","206154","191297","0","0","0","0","397451",NULL,NULL,"397451"
"Bhutan","Female",">60","9150","36","9186","8035","0","0","0","0","17221",NULL,"17221",NULL
"Bhutan","Male","15-59","331840","8975","340815","116393","0","0","0","0","457208",NULL,NULL,"457208"
"Bhutan","Male",">60","13020","74","13094","4968","0","0","0","0","18062",NULL,"18062",NULL
"Bolivia (Plurinational State of)","Female","15-59","1693192","25418","1718610","1295310","0","0","0","0","3013920",NULL,NULL,"3013920"
"Bolivia (Plurinational State of)","Female",">60","203067","765","203832","264232","0","0","0","0","468064",NULL,"468064",NULL
"Bolivia (Plurinational State of)","Male","15-59","2352407","32432","2384839","606168","0","0","0","0","2991007",NULL,NULL,"2991007"
"Bolivia (Plurinational State of)","Male",">60","281260","2276","283536","124551","0","0","0","0","408087",NULL,"408087",NULL
"Botswana","Female","15-59","176563","56845","233408","262031","0","0","0","0","495439",NULL,NULL,"495439"
"Botswana","Female",">60","6404","417","6821","57122","0","0","0","0","63943",NULL,"63943",NULL
"Botswana","Male","15-59","244789","50203","294992","157867","0","0","0","0","452859",NULL,NULL,"452859"
"Botswana","Male",">60","15832","871","16703","31027","0","0","0","0","47730",NULL,"47730",NULL
"Brazil","Female","15-59","57879190.47272408","9882059.714434983","67761250.18715906","49061195.92359326","8082152","8960226","59548496","3799890","116822446.11075231",NULL,NULL,"116822446.11075231"
"Brazil","Female","<15","370466","206907","577373","7992471","15164489","619708","0","0","8569844","8569844",NULL,NULL
"Brazil","Female",">60","2617728.007647813","117784.79459795216","2735512.802245765","16714546.82903301","0","0","6137964","2021118","19450059.631278776",NULL,"19450059.631278776",NULL
"Brazil","Male","15-59","83536643.65372469","8070980.697191063","91607624.35091574","20812887.766875584","7859688","9325585","56211845","4672325","112420512.11779132",NULL,NULL,"112420512.11779132"
"Brazil","Male","<15","771972","275193","1047165","7736673","15632089","718615","0","0","8783838","8783838",NULL,NULL
"Brazil","Male",">60","5738304.765405297","239970.67666973703","5978275.442075035","9699542.22710663","0","0","5360784","1571669","15677817.669181664",NULL,"15677817.669181664",NULL
"British Virgin Islands","Female","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"British Virgin Islands","Male","<15","0","0","0","0","0","0","0","0","0","0",NULL,NULL
"Brunei Darussalam","Female","15-59","158391","15657","174048","98335","0","0","0","0","272383",NULL,NULL,"272383"
"Brunei Darussalam","Female",">60","2079","59","2138","28099","0","0","0","0","30237",NULL,"30237",NULL
"Brunei Darussalam","Male","15-59","230619","14100","244719","60077","0","0","0","0","304796",NULL,NULL,"304796"
"Brunei Darussalam","Male",">60","5010","85","5095","22985","0","0","0","0","28080",NULL,"28080",NULL
"Bulgaria","Female","15-59","3651905","901972","4553877","1878817","0","0","0","0","6432694",NULL,NULL,"6432694"
"Bulgaria","Female","<15","50","0","50","590479","0","0","0","0","590529","590529",NULL,NULL
"Bulgaria","Female",">60","239194","17352","256546","3015372","0","0","0","0","3271918",NULL,"3271918",NULL
"Bulgaria","Male","15-59","3856394","1091392","4947786","1636604","0","0","0","0","6584390",NULL,NULL,"6584390"
"Bulgaria","Male","<15","47","0","47","621966","0","0","0","0","622013","622013",NULL,NULL
"Bulgaria","Male",">60","346560","33747","380307","2013608","0","0","0","0","2393915",NULL,"2393915",NULL
"Burkina Faso","Female","15-59","2250132","39142","2289274","1347200","0","0","0","0","3636474",NULL,NULL,"3636474"
"Burkina Faso","Female",">60","162767","417","163184","216115","0","0","0","0","379299",NULL,"379299",NULL
"Burkina Faso","Male","15-59","2620324","83418","2703742","390775","0","0","0","0","3094517",NULL,NULL,"3094517"
"Burkina Faso","Male",">60","252637","762","253399","79875","0","0","0","0","333274",NULL,"333274",NULL
"Burundi","Female","15-59","1427429","22056","1449485","616603","0","0","0","0","2066088",NULL,NULL,"2066088"
"Burundi","Female",">60","578390","680","579070","47847","0","0","0","0","626917",NULL,"626917",NULL
"Burundi","Male","15-59","1315620","24192","1339812","603039","0","0","0","0","1942851",NULL,NULL,"1942851"
"Burundi","Male",">60","125884","1162","127046","33140","0","0","0","0","160186",NULL,"160186",NULL
"Cambodia","Female","15-59","5524537","205854","5730391","1629640","0","0","0","0","7360031",NULL,NULL,"7360031"
"Cambodia","Female","<15","89731","6722","96453","4497934","0","0","0","0","4594387","4594387",NULL,NULL
"Cambodia","Female",">60","413996","9606","423602","427856","0","0","0","0","851458",NULL,"851458",NULL
"Cambodia","Male","15-59","5240964","158204","5399168","1213206","0","0","0","0","6612374",NULL,NULL,"6612374"
"Cambodia","Male","<15","76517","5351","81868","4735345","0","0","0","0","4817213","4817213",NULL,NULL
"Cambodia","Male",">60","435263","5598","440861","157014","0","0","0","0","597875",NULL,"597875",NULL
"Canada","Female","15-59","41803900","3724260","45528160","15012920","0","0","0","0","60541080",NULL,NULL,"60541080"
"Canada","Female","<15","0","0","0","11163190","0","0","0","0","11163190","11163190",NULL,NULL
"Canada","Female",">60","3330410","287980","3618390","17006435","0","0","0","0","20624825",NULL,"20624825",NULL
"Canada","Male","15-59","45202885","4176050","49378935","10063030","0","0","0","0","59441965",NULL,NULL,"59441965"
"Canada","Male","<15","0","0","0","11736640","0","0","0","0","11736640","11736640",NULL,NULL
"Canada","Male",">60","4844620","433720","5278340","12546800","0","0","0","0","17825140",NULL,"17825140",NULL
"Cayman Islands","Female","15-59","16333","1013","17346","3131","1640.87694825","1290.377607729","0","0","20477",NULL,NULL,"20477"
"Cayman Islands","Female","<15","0","0","0","4890","3078.0822151","18.38688671","0","0","4890","4890",NULL,NULL
"Cayman Islands","Female",">60","811","40","851","1600","0","0","0","0","2451",NULL,"2451",NULL
"Cayman Islands","Male","15-59","16710","1196","17906","1973","1446.90120028","1372.246357372","0","0","19879",NULL,NULL,"19879"
"Cayman Islands","Male","<15","0","0","0","5078","3139.6537120000003","15.341812809","0","0","5078","5078",NULL,NULL
"Cayman Islands","Male",">60","1129","81","1210","1051","0","0","0","0","2261",NULL,"2261",NULL
"Chile","Female","15-59","2993424","237524","3230948","2300135","0","0","0","0","5531083",NULL,NULL,"5531083"
"Chile","Female",">60","301286","6967","308253","1247828","0","0","0","0","1556081",NULL,"1556081",NULL
"Chile","Male","15-59","4042140","330266","4372406","1039273","0","0","0","0","5411679",NULL,NULL,"5411679"
"Chile","Male",">60","591218","22853","614071","628479","0","0","0","0","1242550",NULL,"1242550",NULL
"China","Female","15-59","28795604","953049","29748653","9391002","4158583","6036856","445980436","12418737","39139655",NULL,NULL,"39139655"
"China","Female","<15","0","0","0","0","5721381","110496","0","0","0","0",NULL,NULL
"China","Female",">60","2085376","16813","2102189","6948833","0","0","50896639","14869972","9051022",NULL,"9051022",NULL
"China","Male","15-59","35100211","935893","36036104","3516820","4388736","6129114","470830673","4663962","39552924",NULL,NULL,"39552924"
"China","Male","<15","0","0","0","0","6719075","133029","0","0","0","0",NULL,NULL
"China","Male",">60","3256716","23819","3280535","5327145","0","0","61734285","5252065","8607680",NULL,"8607680",NULL
"China, Hong Kong SAR","Female","15-59","2586804","46296","2633100","5251129","0","0","0","0","7884229",NULL,NULL,"7884229"
"China, Hong Kong SAR","Female","<15","0","0","0","2736286","0","0","0","0","2736286","2736286",NULL,NULL
"China, Hong Kong SAR","Female",">60","56892","713","57605","3776345","0","0","0","0","3833950",NULL,"3833950",NULL
"China, Hong Kong SAR","Male","15-59","3437267","86995","3524262","2325638","0","0","0","0","5849900",NULL,NULL,"5849900"
"China, Hong Kong SAR","Male","<15","0","0","0","2925697","0","0","0","0","2925697","2925697",NULL,NULL
"China, Hong Kong SAR","Male",">60","215441","4795","220236","2777774","0","0","0","0","2998010",NULL,"2998010",NULL
"China, Macao SAR","Female","15-59","601580","20980","622560","183837","0","0","0","0","806397",NULL,NULL,"806397"
"China, Macao SAR","Female",">60","26064","500","26564","77162","0","0","0","0","103726",NULL,"103726",NULL
"China, Macao SAR","Male","15-59","595594","25270","620864","86311","0","0","0","0","707175",NULL,NULL,"707175"
"China, Macao SAR","Male",">60","42644","1085","43729","56096","0","0","0","0","99825",NULL,"99825",NULL
"Colombia","Female","15-59","4607466","391119","4998585","7528184","0","0","0","0","12526769",NULL,NULL,"12526769"
"Colombia","Female",">60","149080","6195","155275","1763105","0","0","0","0","1918380",NULL,"1918380",NULL
"Colombia","Male","15-59","7907541","657393","8564934","2954249","0","0","0","0","11519183",NULL,NULL,"11519183"
"Colombia","Male",">60","612845","41934","654779","967459","0","0","0","0","1622238",NULL,"1622238",NULL
"Cook Islands","Female","15-59","3019","282","3301","1100","0","0","0","0","4401",NULL,NULL,"4401"
"Cook Islands","Female",">60","211","3","214","757","0","0","0","0","971",NULL,"971",NULL
"Cook Islands","Male","15-59","3382","325","3707","612","0","0","0","0","4319",NULL,NULL,"4319"
"Cook Islands","Male",">60","326","6","332","619","0","0","0","0","951",NULL,"951",NULL
"Costa Rica","Female","15-59","932860","27898","960758","1603826","0","0","0","0","2564584",NULL,NULL,"2564584"
"Costa Rica","Female",">60","27752","288","28040","360321","0","0","0","0","388361",NULL,"388361",NULL
"Costa Rica","Male","15-59","1878593","87371","1965964","458001","0","0","0","0","2423965",NULL,NULL,"2423965"
"Costa Rica","Male",">60","122693","3844","126537","209040","0","0","0","0","335577",NULL,"335577",NULL
"Croatia","Female","15-59","1319873","318391","1638264","1005753","0","0","0","0","2644017",NULL,NULL,"2644017"
"Croatia","Female","<15","0","0","0","368467","0","0","0","0","368467","368467",NULL,NULL
"Croatia","Female",">60","51942","1083","53025","1122961","0","0","0","0","1175986",NULL,"1175986",NULL
"Croatia","Male","15-59","1593624","362720","1956344","703179","0","0","0","0","2659523",NULL,NULL,"2659523"
"Croatia","Male","<15","0","0","0","386167","0","0","0","0","386167","386167",NULL,NULL
"Croatia","Male",">60","85733","7990","93723","715278","0","0","0","0","809001",NULL,"809001",NULL
"Cuba","Female","15-59","3213193","93262","3306455","3890940","0","0","0","0","7197395",NULL,NULL,"7197395"
"Cuba","Female",">60","99591","0","99591","1294868","0","0","0","0","1394459",NULL,"1394459",NULL
"Cuba","Male","15-59","5361286","214109","5575395","1672714","0","0","0","0","7248109",NULL,NULL,"7248109"
"Cuba","Male",">60","354579","1169","355748","934607","0","0","0","0","1290355",NULL,"1290355",NULL
"Cyprus","Female","15-59","119948","4633","124581","93557","0","0","0","0","218138",NULL,NULL,"218138"
"Cyprus","Female",">60","3457","83","3540","56711","0","0","0","0","60251",NULL,"60251",NULL
"Cyprus","Male","15-59","158434","5392","163826","37434","0","0","0","0","201260",NULL,NULL,"201260"
"Cyprus","Male",">60","10498","351","10849","40107","0","0","0","0","50956",NULL,"50956",NULL
"Czechia","Female","15-59","6227138","601022","6828160","2371550","0","0","0","0","9199710",NULL,NULL,"9199710"
"Czechia","Female","<15","0","0","0","2355597","0","0","0","0","2355597","2355597",NULL,NULL
"Czechia","Female",">60","411605","9708","421313","3603661","0","0","0","0","4024974",NULL,"4024974",NULL
"Czechia","Male","15-59","7361036","624154","7985190","1407859","0","0","0","0","9393049",NULL,NULL,"9393049"
"Czechia","Male","<15","0","0","0","2478585","0","0","0","0","2478585","2478585",NULL,NULL
"Czechia","Male",">60","631566","24168","655734","2281551","0","0","0","0","2937285",NULL,"2937285",NULL
"Denmark","Female","15-59","1219868","57685","1277553","345330","0","0","0","0","1622883",NULL,NULL,"1622883"
"Denmark","Female","<15","6437","0","6437","489210","0","0","0","0","495647","495647",NULL,NULL
"Denmark","Female",">60","55072","1258","56330","546224","0","0","0","0","602554",NULL,"602554",NULL
"Denmark","Male","15-59","1336627","57792","1394419","269954","0","0","0","0","1664373",NULL,NULL,"1664373"
"Denmark","Male","<15","9952","0","9952","512030","0","0","0","0","521982","521982",NULL,NULL
"Denmark","Male",">60","113430","2515","115945","360123","0","0","0","0","476068",NULL,"476068",NULL
"Dominica","Female","15-59","9199","1006","10205","8482","0","0","0","0","18687",NULL,NULL,"18687"
"Dominica","Female",">60","609","18","627","4486","0","0","0","0","5113",NULL,"5113",NULL
"Dominica","Male","15-59","13747","1979","15726","4073","0","0","0","0","19799",NULL,NULL,"19799"
"Dominica","Male",">60","1256","51","1307","2711","0","0","0","0","4018",NULL,"4018",NULL
"Dominican Republic","Female","15-59","2241613","327871","2569484","2787472","516753","411895","2624399","258794","5356956",NULL,NULL,"5356956"
"Dominican Republic","Female","<15","0","0","0","0","892175","50760","0","0","0","0",NULL,NULL
"Dominican Republic","Female",">60","121188","11607","132795","649229","0","0","227399","82293","782024",NULL,"782024",NULL
"Dominican Republic","Male","15-59","3396414","352718","3749132","1559891","456698","474811","2563866","333632","5309023",NULL,NULL,"5309023"
"Dominican Republic","Male","<15","0","0","0","0","902083","67203","0","0","0","0",NULL,NULL
"Dominican Republic","Male",">60","337039","36968","374007","372111","0","0","227941","74531","746118",NULL,"746118",NULL
"Ecuador","Female","15-59","1915603","138188","2053791","2325376","678606","680369","4185045","194122","4379167",NULL,NULL,"4379167"
"Ecuador","Female","<15","0","0","0","0","1424527","84754","0","0","0","0",NULL,NULL
"Ecuador","Female",">60","163838","1545","165383","534013","0","0","374595","120651","699396",NULL,"699396",NULL
"Ecuador","Male","15-59","3250464","181126","3431590","802653","659614","693074","4079026","155217","4234243",NULL,NULL,"4234243"
"Ecuador","Male","<15","0","0","0","0","1464387","92480","0","0","0","0",NULL,NULL
"Ecuador","Male",">60","367825","5090","372915","269353","0","0","391210","78211","642268",NULL,"642268",NULL
"El Salvador","Female","15-59","664208","76424","740632","1026893","0","0","0","0","1767525",NULL,NULL,"1767525"
"El Salvador","Female",">60","47437","15338","62775","239420","0","0","0","0","302195",NULL,"302195",NULL
"El Salvador","Male","15-59","977797","82600","1060397","427033","0","0","0","0","1487430",NULL,NULL,"1487430"
"El Salvador","Male",">60","101666","18768","120434","119562","0","0","0","0","239996",NULL,"239996",NULL
"Equatorial Guinea","Female","15-59","181085.83582745108","39015.0150807197","220100.8509081708","178352.28356614857","0","0","0","0","398453.13447431935",NULL,NULL,"398453.13447431935"
"Equatorial Guinea","Female","<15","0","0","0","244284.683798632","0","0","0","0","244284.683798632","244284.683798632",NULL,NULL
"Equatorial Guinea","Male","15-59","197503.8379736724","40792.537041186384","238296.3750148588","228665.3470612498","0","0","0","0","466961.72207610856",NULL,NULL,"466961.72207610856"
"Equatorial Guinea","Male","<15","0","0","0","274652.563194751","0","0","0","0","274652.563194751","274652.563194751",NULL,NULL
"Estonia","Female","15-59","782093","83875","865968","321550","0","0","0","0","1187518",NULL,NULL,"1187518"
"Estonia","Female","<15","0","0","0","106091","0","0","0","0","106091","106091",NULL,NULL
"Estonia","Female",">60","111148","3410","114558","494476","0","0","0","0","609034",NULL,"609034",NULL
"Estonia","Male","15-59","763497","108445","871942","292941","0","0","0","0","1164883",NULL,NULL,"1164883"
"Estonia","Male","<15","0","0","0","111701","0","0","0","0","111701","111701",NULL,NULL
"Estonia","Male",">60","91331","5222","96553","248798","0","0","0","0","345351",NULL,"345351",NULL
"Eswatini","Female","15-59","155649","104282","259931","241925","0","0","0","0","501856",NULL,NULL,"501856"
"Eswatini","Female",">60","5923","2056","7979","28853","0","0","0","0","36832",NULL,"36832",NULL
"Eswatini","Male","15-59","206170","79673","285843","150919","0","0","0","0","436762",NULL,NULL,"436762"
"Eswatini","Male",">60","7858","2592","10450","14780","0","0","0","0","25230",NULL,"25230",NULL
"Ethiopia","Female","15-59","12214102","620931","12835033","5892152","0","0","0","0","18727185",NULL,NULL,"18727185"
"Ethiopia","Female",">60","844415","18522","862937","757806","0","0","0","0","1620743",NULL,"1620743",NULL
